1,252,54,1
26,111,254,54,1
28,111,259,54,1
30,111,263,54,1
32,111,270,54,1
34,111,277,54,1
36,111,298,54,1
38,111,327,54,1
40,111,347,54,1
42,111,348,54,1
44,111,342,54,1
46,111,334,54,1
48,111,322,54,1
50,111,312,54,1
52,111,301,54,1
54,111,296,54,1
56,111,288,54,1
58,111,284,54,1
60,111,276,54,1
62,111,271,54,1
64,111,265,54,1
66,111,256,54,1
68,111,251,54,1
70,111,246,54,1
72,111,244,54,1
74,111,239,54,1
76,111,235,54,1
78,111,230,54,1
80,111,236,54,1
82,111,236,54,1
84,111,234,54,1
86,111,233,54,1
88,111,231,54,1
90,111,129,54,1
92,111,121,54,1
94,111,120,54,1
96,111,118,54,1
98,111,117,54,1
100,111,118,54,1
102,111,118,54,1
104,111,119,54,1
106,111,121,54,1
108,111,122,54,1
110,111,123,54,1
112,111,237,54,1
114,111,241,54,1
116,111,245,54,1
118,111,249,54,1
120,111,252,54,1
122,111,206,54,1
124,111,0,111,0,0,0
2,111,257,53,1
4,111,259,53,1
6,111,261,53,1
8,111,259,53,1
10,111,259,53,1
12,111,268,53,1
14,111,243,53,1
16,111,235,53,1
18,111,243,53,1
20,111,243,53,1
22,111,246,53,1
24,111,250,53,1
26,111,254,53,1
28,111,258,53,1
30,111,263,53,1
32,111,271,53,1
34,111,277,53,1
36,111,288,53,1
38,111,326,53,1
40,111,345,53,1
42,111,347,53,1
44,111,346,53,1
46,111,337,53,1
48,111,325,53,1
50,111,315,53,1
52,111,304,53,1
54,111,296,53,1
56,111,288,54,1
58,111,284,53,1
60,111,276,53,1
62,111,271,53,1
64,111,265,54,1
66,111,258,53,1
68,111,252,53,1
70,111,249,54,1
72,111,244,54,1
74,111,240,53,1
76,111,236,54,1
78,111,231,53,1
80,111,232,54,1
82,111,236,53,1
84,111,234,53,1
86,111,233,53,1
88,111,231,53,1
90,111,127,53,1
92,111,121,53,1
94,111,120,53,1
96,111,118,53,1
98,111,117,53,1
100,111,117,54,1
102,111,118,54,1
104,111,119,54,1
106,111,120,53,1
108,111,122,54,1
110,111,123,53,1
112,111,228,53,1
114,111,241,54,1
116,111,243,54,1
118,111,247,54,1
120,111,250,54,1
122,111,196,54,1
124,111,185,54,1
126,111,199,54,1
128,111,218,53,1
130,111,209,54,1
132,111,198,54,1
134,111,205,54,1
136,111,232,53,1
138,111,239,54,1
140,111,250,54,1
142,111,262,53,1
144,111,326,54,1
146,111,355,54,1
148,111,171,54,1
150,111,140,54,1
152,111,135,53,1
154,111,132,53,1
156,111,129,53,1
