111,262,54,1
68,111,257,54,1
70,111,254,54,1
72,111,249,54,1
74,111,248,54,1
76,111,243,54,1
78,111,242,54,1
80,111,238,54,1
82,111,236,54,1
84,111,234,54,1
86,111,233,54,1
88,111,232,54,1
90,111,231,54,1
92,111,230,54,1
94,111,230,54,1
96,111,230,54,1
98,111,230,54,1
100,111,231,54,1
102,111,231,54,1
104,111,232,54,1
106,111,233,54,1
108,111,235,54,1
110,111,237,54,1
112,111,239,54,1
114,111,241,54,1
116,111,244,54,1
118,111,248,54,1
120,111,253,54,1
122,111,257,54,1
124,111,250,54,1
126,111,239,54,1
128,111,221,54,1
130,111,205,54,1
132,111,97,54,1
134,111,69,54,1
136,111,64,54,1
138,111,61,54,1
140,111,60,54,1
142,111,60,54,1
144,111,60,54,1
146,111,61,54,1
148,111,63,54,1
150,111,76,54,1
152,111,135,54,1
154,111,133,54,1
156,111,130,54,1
158,111,127,54,1
160,111,125,54,1
162,111,122,54,1
164,111,121,54,1
166,111,119,54,1
168,111,111,54,1
170,111,86,54,1
172,111,83,54,1
174,111,80,54,1
176,111,55,54,1
178,111,53,54,1
1878,111,238,54,1
76,111,241,54,1
74,111,242,54,1
72,111,246,54,1
70,111,249,54,1
68,111,253,54,1
66,111,256,54,1
64,111,261,54,1
62,111,265,54,1
60,111,269,54,1
58,111,274,54,1
56,111,282,54,1
54,111,287,54,1
52,111,297,54,1
50,111,302,54,1
48,111,311,54,1
46,111,320,54,1
44,111,325,54,1
42,111,317,54,1
40,111,305,54,1
38,111,298,54,1
36,111,290,54,1
34,111,284,54,1
32,111,278,54,1
30,111,275,54,1
28,111,270,54,1
26,111,266,54,1
24,111,260,54,1
22,111,256,54,1
20,111,252,54,1
18,111,249,54,1
16,111,247,54,1
14,111,241,54,1
12,111,232,54,1
10,111,254,54,1
8,111,266,54,1
6,111,263,54,1
4,111,263,54,1
2,111,265,54,1
0,111,264,54,1
2,111,258,54,1
4,111,265,54,1
6,111,265,54,1
8,111,261,54,1
10,111,264,54,1
12,111,267,54,1
14,111,248,54,1
16,111,236,54,1
18,111,245,54,1
20,111,248,54,1
22,111,250,54,1
24,111,254,54,1
26,111,259,54,1
28,111,264,54,1
30,111,267,54,1
32,111,274,54,1
34,111,276,54,1
36,111,284,54,1
38,111,290,54,1
40,111,299,54,1
42,111,303,54,1
44,111,314,54,1
46,111,323,54,1
48,111,326,54,1
50,111,315,54,1
52,111,305,54,1
54,111,298,54,1
56,111,289,54,1
58,111,284,54,1
60,111,277,54,1
62,111,272,54,1
64,111,266,54,1
66,111,262,54,1
68,111,256,54,1
70,111,254,54,1
72,111,250,54,1
74,111,247,54,1
76,111,244,54,1
78,111,242,54,1
80,111,238,54,1
82,111,237,54,1
84,111,234,54,1
86,111,233,54,1
88,111,232,54,1
90,111,231,54,1
92,111,230,54,1
94,111,230,54,1
96,111,230,54,1
98,111,230,54,1
100,111,231,54,1
102,111,231,54,1
