pan,tilt,distance,temperature,valid

56,115,85,47,1
58,115,86,47,1
60,115,74,47,1
62,115,72,47,1
64,115,70,47,1
66,115,69,47,1
68,115,66,47,1
70,115,72,47,1
72,115,39,47,1
74,115,38,47,1
76,115,38,47,1
78,115,61,47,1
80,115,85,47,1
82,115,85,47,1
84,115,82,47,1
86,115,50,47,1
88,115,40,47,1
90,115,39,47,1
92,115,38,47,1
94,115,39,47,1
96,115,38,47,1
98,115,40,47,1
100,115,40,47,1
102,115,44,47,1
104,115,99,47,1
106,115,81,47,1
108,115,78,47,1
110,115,77,47,1
112,115,77,47,1
114,115,75,47,1
116,115,75,47,1
118,115,75,47,1
120,115,72,47,1
122,115,69,47,1
124,115,67,47,1
126,115,48,47,1
128,115,47,47,1
130,115,46,47,1
132,115,21,47,1
134,115,19,47,1
136,115,18,47,1
138,115,18,47,1
140,115,18,136,103,22,47,1
138,103,21,47,1
140,103,21,47,1
142,103,21,47,1
144,103,20,47,1
146,103,20,47,1
148,103,20,47,1
150,103,21,47,1
152,103,22,47,1
154,103,27,47,1
156,103,50,47,1
158,103,47,47,1
160,103,43,47,1
162,103,40,47,1
164,103,38,47,1
166,103,35,47,1
168,103,185,47,1
170,103,239,47,1
172,103,235,47,1
174,103,230,47,1
176,103,225,47,1
178,103,222,47,1
180,100,220,47,1
178,100,220,47,1
176,100,222,47,1
174,100,224,47,1
172,100,228,47,1
170,100,231,47,1
168,100,129,47,1
166,100,53,47,1
164,100,59,47,1
162,100,64,47,1
160,100,35,47,1
158,100,33,47,1
156,100,34,47,1
154,100,35,47,1
152,100,36,47,1
150,100,25,47,1
148,100,25,47,1
146,100,24,47,1
144,100,24,47,1
142,100,25,47,1
140,100,25,47,1
138,100,26,47,1
136,100,326,47,1
134,100,368,47,1
132,100,365,47,1
130,100,360,47,1
128,100,350,47,1
126,100,344,47,1
124,100,341,47,1
122,100,336,47,1
120,100,333,47,1
118,100,331,47,1
116,100,329,47,1
114,100,326,47,1
112,100,336,47,1
110,100,356,47,1
108,100,35342,94,87,48,1
40,94,86,48,1
38,94,84,48,1
36,94,81,48,1
34,94,61,48,1
32,94,57,48,1
30,94,55,48,1
28,94,64,48,1
26,94,78,48,1
24,94,78,48,1
22,94,77,48,1
20,94,77,48,1
18,94,76,48,1
16,94,71,48,1
14,94,53,48,1
12,94,51,47,1
10,94,51,48,1
8,94,49,48,1
6,94,49,48,1
4,94,49,47,1
2,94,59,47,1
0,91,80,48,1
2,91,81,47,1
4,91,80,47,1
6,91,66,47,1
8,91,49,47,1
10,91,49,47,1
12,91,51,47,1
14,91,52,47,1
16,91,52,47,1
18,91,53,47,1
20,91,74,48,1
22,91,77,47,1
24,91,78,47,1
26,91,78,48,1
28,91,79,47,1
30,91,79,48,1
32,91,59,47,1
34,91,58,47,1
36,91,73,47,1
38,91,83,47,1
40,91,85,47,1
42,91,86,47,1
44,91,88,47,1
46,91,89,47,1
48,91,89,47,1
50,91,83,48,1
52,91,87,47,1
54,91,99,47,1
56,91,102,47,1
58,91,105,47,1
60,91,109,47,1
62,91,112,47,1
64,91,114,47,1
66,91,99,47,1
68,91,91,47,1
70,91,98,48,1
72,91,103,48,1
74,91,103,48,1
76,91,106,48,1
78,91,109,48,1
80,91,112,48,1
82,91,114,48,1
84,91,120,48,1
86,91,124,48,1
88,91,128,48,1
90,91,130,48,1
92,91,0,48,0
94,91,333,48,1
96,91,379,48,1
98,91,377,48,1
100,91,372,48,1
102,91,376,48,1
104,91,364,48,1
106,91,372,48,1
108,91,365,48,1
110,91,361,48,1
112,91,367,48,1
114,91,358,48,1
116,91,339,48,1
118,91,347,48,1
120,91,341,48,1
122,91,342,48,1
124,91,344,48,1
126,91,350,48,1
128,91,352,48,1
130,91,357,48,1
132,91,363,48,1
134,91,372,48,1
136,91,380,48,1
138,91,386,48,1
140,91,395,48,1
142,91,403,48,1
144,91,396,48,1
146,91,374,48,1
148,91,361,48,1
